,sentence,category,sentiment
272,Tyres delivered quickly and excellent time slot for me. Tyres delivered quickly and excellent time for fitting provided for me. The actual fitting took a bit longer than expected. Apparently this was due to one of the new tyres not inflating on the rim. The fitter stated this was because the tyres are stored badly and when delivered they are slightly mis shapen and won’t fit on the rim properly. He did get there in the end after many attempts. Pleased with the tyres and no other problems encountered.,delivery punctuality,positive
273,Tyres delivered quickly and excellent time slot for me. Tyres delivered quickly and excellent time for fitting provided for me. The actual fitting took a bit longer than expected. Apparently this was due to one of the new tyres not inflating on the rim. The fitter stated this was because the tyres are stored badly and when delivered they are slightly mis shapen and won’t fit on the rim properly. He did get there in the end after many attempts. Pleased with the tyres and no other problems encountered.,garage service,positive
274,Thank you again Excellent service. Value for money. Exceptional service. Easy to navigate website. What more do you need? Thanks again [REDACTED].,value for money,positive
275,Good prices easy to organise. Buying on line easy with a good range of local fitters - chose a garage we know well and everything was done as expected with no hassles,value for money,positive
276,Good prices easy to organise. Buying on line easy with a good range of local fitters - chose a garage we know well and everything was done as expected with no hassles,ease of booking,positive
277,Good prices easy to organise. Buying on line easy with a good range of local fitters - chose a garage we know well and everything was done as expected with no hassles,location,positive
278,[REDACTED] does what it says on the tin you get the tyres you want fitted by your trusted local tyre fitter at a very good price,value for money,negative
279,[REDACTED] does what it says on the tin you get the tyres you want fitted by your trusted local tyre fitter at a very good price,location,negative
280,[REDACTED] does what it says on the tin you get the tyres you want fitted by your trusted local tyre fitter at a very good price,garage service,negative
281,"very happy. found a set I needed quickly online, booked a fitting when it suited me, had to change that time and did so with ease, the garage fitted tyres swiftly and on time, and I saved a few quid.",value for money,positive
